probID,sID,probAns,answer,correct,answerAt,publishAt,questionType
5,117,C,C,TRUE,45:38.0,00:21.9,-1
5,96,C,C,TRUE,58:04.1,00:21.9,-1
5,118,C,C,TRUE,27:37.1,00:21.9,-1
5,40,C,B,FALSE,27:46.4,00:21.9,-1
5,31,C,C,TRUE,27:54.2,00:21.9,-1
5,40,C,C,TRUE,28:06.0,00:21.9,-1
5,81,C,C,TRUE,28:06.7,00:21.9,-1
5,25,C,B,FALSE,28:24.8,00:21.9,-1
5,102,C,C,TRUE,28:42.7,00:21.9,-1
5,100,C,C,TRUE,29:01.9,00:21.9,-1
5,90,C,C,TRUE,29:09.8,00:21.9,-1
5,25,C,C,TRUE,29:33.0,00:21.9,-1
5,106,C,C,TRUE,30:20.9,00:21.9,-1
5,70,C,B,FALSE,30:32.8,00:21.9,-1
5,70,C,A,FALSE,30:40.4,00:21.9,-1
5,70,C,C,TRUE,30:47.3,00:21.9,-1
5,87,C,B,FALSE,30:55.8,00:21.9,-1
5,87,C,C,TRUE,31:16.0,00:21.9,-1
5,119,C,C,TRUE,07:34.4,00:21.9,-1
5,50,C,C,TRUE,02:22.9,00:21.9,-1
5,56,C,C,TRUE,01:33.9,00:21.9,-1
5,66,C,C,TRUE,00:38.2,00:21.9,-1
6,5,A,A,TRUE,23:09.2,01:07.9,-1
6,6,A,A,TRUE,28:11.3,01:07.9,-1
6,17,A,A,TRUE,30:21.7,01:07.9,-1
6,23,A,A,TRUE,24:14.6,01:07.9,-1
6,95,A,A,TRUE,25:05.3,01:07.9,-1
6,92,A,A,TRUE,16:41.9,01:07.9,-1
6,19,A,A,TRUE,56:04.0,01:07.9,-1
6,88,A,A,TRUE,15:55.9,01:07.9,-1
6,97,A,A,TRUE,31:29.6,01:07.9,-1
6,46,A,A,TRUE,38:18.4,01:07.9,-1
6,107,A,A,TRUE,46:15.0,01:07.9,-1
6,108,A,A,TRUE,58:48.3,01:07.9,-1
6,34,A,A,TRUE,09:14.3,01:07.9,-1
6,109,A,A,TRUE,26:36.9,01:07.9,-1
6,110,A,A,TRUE,44:50.2,01:07.9,-1
6,53,A,A,TRUE,58:33.5,01:07.9,-1
